Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66
3. COMUNICACIONES FIJAS   -   3.1. Telefonía fija minorista   -   a) Ingresos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14. Ingresos de telefonía fija y distribución por tipo de tráfico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(millones de euros),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I/2005,II/2005,III/2005,IV/2005,I/2006,II/2006,III/2006,IV/2006,I/2007,II/2007,III/2007,IV/2007,I/2008,II/2008,III/2008,IV/2008,I/2009,II/2009,III/2009,IV/2009,I/2010,II/2010,III/2010,IV/2010,I/2011,II/2011,III/2011,IV/2011,I/2012,II/2012,III/2012,IV/2012,I/2013,II/2013,III/2013,IV/2013,I/2014,II/2014,III/2014,IV/2014,I/2015,II/2015,III/2015,IV/2015,I/2016,II/2016,III/2016,IV/2016,I/2017,II/2017,III/2017,IV/2017,I/2018,II/2018,III/2018,IV/2018,I/2019,II/2019,III/2019,IV/2019,I/2020,II/2020,III/2020,IV/2020,I/2021,
Fijos nacionales,471.86,452.08,384.54,0.00,410.09,392.10,318.84,356.21,340.27,325.29,301.66,325.31,320.71,318.25,288.83,301.74,299.38,283.29,268.74,277.98,319.00,313.69,294.95,296.45,308.26,299.50,291.47,299.52,289.24,273.33,251.53,252.21,245.15,233.77,219.45,221.61,219.00,217.55,210.83,205.10,205.17,201.30,192.49,192.43,179.39,170.84,162.51,167.71,167.38,163.31,157.06,148.07,157.67,151.60,134.19,124.19,118.55,105.46,101.06,100.08,96.77,93.21,84.77,86.39,81.87,
Internacional,166.63,177.76,172.71,0.00,139.26,142.93,149.56,152.50,138.54,141.56,149.13,133.23,146.07,142.17,136.05,127.51,110.25,104.84,100.46,96.22,89.98,91.74,88.94,82.55,80.75,75.50,74.45,69.94,57.58,56.40,50.58,47.25,40.48,40.87,38.79,36.11,33.16,31.78,30.91,29.18,28.53,27.09,25.95,25.38,22.42,21.18,19.00,18.73,17.76,17.21,16.29,14.96,14.45,13.47,14.52,13.00,12.56,12.46,10.40,10.54,9.84,9.82,8.17,7.53,7.82,
A móviles,426.05,441.82,425.10,0.00,390.57,396.24,388.40,366.17,359.40,363.66,351.63,342.63,339.33,334.64,314.05,299.63,274.26,268.91,261.27,252.45,241.34,243.33,227.38,221.06,214.33,212.95,204.16,196.41,195.17,191.63,169.33,154.51,143.67,145.13,129.07,121.40,113.99,110.65,105.52,103.87,95.08,94.23,93.95,90.83,84.94,85.50,83.81,84.20,77.65,76.81,78.51,73.31,75.99,74.71,68.84,68.17,68.40,68.43,65.09,65.15,62.81,69.14,71.01,61.95,58.67,
Inteligencia de red,78.06,81.57,81.54,0.00,86.45,85.10,86.45,99.31,96.27,93.07,91.45,95.27,95.30,99.55,96.75,103.16,89.70,80.97,76.81,75.32,77.74,70.90,73.89,66.88,65.89,64.70,62.98,62.91,60.70,61.61,57.38,55.00,49.75,49.99,42.15,42.09,40.76,38.55,36.03,36.14,35.48,33.45,32.45,33.04,30.96,28.57,26.66,30.33,26.65,26.39,27.37,28.23,27.64,26.36,22.34,24.59,21.26,21.55,21.63,20.86,22.39,21.83,23.24,21.13,26.30,
Otro tráfico,91.54,95.39,100.30,0.00,87.20,47.52,66.59,43.68,45.87,42.03,40.48,39.08,34.80,33.64,28.81,26.15,17.32,18.69,15.83,15.37,12.53,13.16,13.59,12.37,10.41,10.54,9.71,13.18,18.68,18.59,18.40,16.60,15.61,14.23,14.32,18.56,13.41,12.58,11.36,12.05,11.70,13.67,11.02,12.34,11.08,12.13,10.35,11.95,11.20,12.56,10.60,9.94,7.83,7.35,5.95,6.07,6.17,5.58,5.25,5.47,6.01,6.18,6.83,6.03,5.83,
Total,1234.13,1248.62,1164.19,0.00,1113.57,1063.89,1009.84,1017.86,980.35,965.61,934.35,935.52,936.21,928.25,864.49,858.19,790.90,756.70,723.10,717.33,740.60,732.82,698.75,679.32,679.63,663.19,642.77,641.96,621.37,601.56,547.23,525.57,494.67,483.99,443.79,439.76,420.31,411.12,394.65,386.34,375.96,369.74,355.87,354.03,328.79,318.23,302.34,312.92,300.64,296.27,289.83,274.52,283.57,273.49,245.84,236.01,226.94,213.48,203.43,202.10,197.82,200.18,194.02,183.03,180.48,
