Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66
3. COMUNICACIONES FIJAS   -   3.1. Telefonía fija minorista   -   a) Ingresos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12. Ingresos totales de los servicios minoristas de telefonía fija,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(millones de euros),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I/2005,II/2005,III/2005,IV/2005,I/2006,II/2006,III/2006,IV/2006,I/2007,II/2007,III/2007,IV/2007,I/2008,II/2008,III/2008,IV/2008,I/2009,II/2009,III/2009,IV/2009,I/2010,II/2010,III/2010,IV/2010,I/2011,II/2011,III/2011,IV/2011,I/2012,II/2012,III/2012,IV/2012,I/2013,II/2013,III/2013,IV/2013,I/2014,II/2014,III/2014,IV/2014,I/2015,II/2015,III/2015,IV/2015,I/2016,II/2016,III/2016,IV/2016,I/2017,II/2017,III/2017,IV/2017,I/2018,II/2018,III/2018,IV/2018,I/2019,II/2019,III/2019,IV/2019,I/2020,II/2020,III/2020,IV/2020,I/2021,
Tráfico,1998.45,2011.54,1926.50,0.00,1858.34,1802.89,1755.30,1783.38,1761.96,1753.28,1720.93,1717.98,1737.45,1718.59,1651.59,1639.78,1559.99,1514.24,1460.45,1440.60,1451.06,1426.58,1378.28,1344.25,1333.00,1303.71,1282.68,1270.56,1236.40,1194.27,1134.66,1103.16,1060.22,1040.25,984.77,964.08,882.66,867.87,808.71,800.23,763.90,735.13,712.90,697.95,656.71,631.71,599.22,613.60,582.31,575.42,563.68,536.76,543.95,527.29,509.65,500.19,502.84,484.46,463.49,447.84,429.79,424.27,410.99,391.76,371.47,
Otros,74.78,81.69,77.67,0.00,68.14,63.32,74.06,69.67,62.23,60.75,61.93,57.86,62.85,62.29,65.82,74.39,61.67,60.30,58.22,53.57,48.79,50.56,43.88,39.55,38.38,38.78,33.45,35.13,30.63,29.47,29.42,28.92,28.61,26.79,25.03,25.52,25.52,24.24,29.70,26.25,33.84,37.06,32.99,31.87,29.40,31.33,31.36,31.07,34.95,36.81,39.50,40.06,42.48,40.86,40.00,36.61,38.30,36.75,33.55,32.30,30.08,26.48,25.42,24.63,22.45,
Total,2073.23,2093.24,2004.17,0.00,1926.47,1866.21,1829.36,1853.05,1824.19,1814.04,1782.85,1775.84,1800.30,1780.88,1717.40,1714.16,1621.66,1574.53,1518.67,1494.18,1499.85,1477.14,1422.16,1383.79,1371.38,1342.50,1316.13,1305.69,1267.04,1223.73,1164.08,1132.07,1088.83,1067.04,1009.80,989.60,908.18,892.11,838.41,826.49,797.74,772.18,745.88,729.82,686.11,663.04,630.59,644.68,617.27,612.23,603.18,576.81,586.43,568.16,549.65,536.80,541.14,521.21,497.04,480.13,459.87,450.75,436.41,416.39,393.93,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
En tráfico se incluyen los ingresos de cuotas mensuales.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Última actualización 28/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extracción de datos 27/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comisión Nacional de los Mercados y la Competencia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La difusión de información que se realiza por este medio se hace únicamente a título informativo. Los datos anuales y trimestrales están sujetos a actualizaciones por parte de los operadores que suministran la información y, por lo tanto, puede haber modificaciones respecto a lo publicado, prevaleciendo siempre los últimos datos que se muestren.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
