Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
3. COMUNICACIONES FIJAS   -   3.1. Telefonía fija minorista   -   a) Ingresos,,,,,,,,,,,,,,,,,,,
13. Ingresos totales de los servicios minoristas de telefonía fija por segmento,,,,,,,,,,,,,,,,,,,
(millones de euros),,,,,,,,,,,,,,,,,,,
,I/2019,,II/2019,,III/2019,,IV/2019,,I/2020,,II/2020,,III/2020,,IV/2020,,I/2021,,
,Residencial,Negocios,Residencial,Negocios,Residencial,Negocios,Residencial,Negocios,Residencial,Negocios,Residencial,Negocios,Residencial,Negocios,Residencial,Negocios,Residencial,Negocios,
Tráfico,,,,,,,,,,,,,,,,,,,
,318.09,184.76,303.02,181.43,295.62,167.87,283.85,163.98,270.96,158.83,279.01,145.26,250.40,160.59,238.69,153.07,218.97,152.50,
Otros,,,,,,,,,,,,,,,,,,,
,22.12,16.18,20.95,15.80,18.95,14.60,18.49,13.80,17.39,12.69,15.14,11.34,14.39,11.03,13.95,10.69,12.45,10.00,
Total,,,,,,,,,,,,,,,,,,,
,340.21,200.93,323.98,197.23,314.57,182.46,302.35,177.79,288.34,171.53,294.15,156.61,264.79,171.62,252.64,163.75,231.43,162.50,
,,,,,,,,,,,,,,,,,,,
En tráfico se incluyen los ingresos de cuotas mensuales.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Última actualización 28/09/2021,,,,,,,,,,,,,,,,,,,
Extracción de datos 27/10/2021,,,,,,,,,,,,,,,,,,,
Comisión Nacional de los Mercados y la Competencia ,,,,,,,,,,,,,,,,,,,
"La difusión de información que se realiza por este medio se hace únicamente a título informativo. Los datos anuales y trimestrales están sujetos a actualizaciones por parte de los operadores que suministran la información y, por lo tanto, puede haber modificaciones respecto a lo publicado, prevaleciendo siempre los últimos datos que se muestren.",,,,,,,,,,,,,,,,,,,
