Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66
3. COMUNICACIONES FIJAS   -   3.1. Telefonía fija minorista   -   b) Líneas y clientes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18. Número de clientes de telefonía fija por tipo de acceso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I/2005,II/2005,III/2005,IV/2005,I/2006,II/2006,III/2006,IV/2006,I/2007,II/2007,III/2007,IV/2007,I/2008,II/2008,III/2008,IV/2008,I/2009,II/2009,III/2009,IV/2009,I/2010,II/2010,III/2010,IV/2010,I/2011,II/2011,III/2011,IV/2011,I/2012,II/2012,III/2012,IV/2012,I/2013,II/2013,III/2013,IV/2013,I/2014,II/2014,III/2014,IV/2014,I/2015,II/2015,III/2015,IV/2015,I/2016,II/2016,III/2016,IV/2016,I/2017,II/2017,III/2017,IV/2017,I/2018,II/2018,III/2018,IV/2018,I/2019,II/2019,III/2019,IV/2019,I/2020,II/2020,III/2020,IV/2020,I/2021,
Acceso directo,14059266,14091286,14085811,0,14246088,14201080,14222159,14312657,14352809,14424179,14415644,14564853,14710796,14691905,14694508,14755598,14754893,14717652,14710695,14764939,14808250,14806757,14787972,14832679,14873021,14800464,14786226,14831656,14847054,14641872,14567601,14625108,14659067,14610776,14640453,14703203,14726886,14751011,14814077,14876173,15070032,15015024,15060166,15216380,15268273,15287202,15407128,15573036,15680650,15698006,15747877,15862509,15906475,15877211,15902752,15950812,15656610,15553494,15503267,15548351,15465084,15469441,15487597,15377019,15310338,
Acceso indirecto,2982273,2984151,2859525,0,2649544,2475715,2382201,2285412,2016129,1923872,1917069,1832013,1599900,1509984,1488516,1372051,1280718,1182022,1091892,1025929,944879,885296,873917,838139,816393,823058,817025,818052,798530,787264,766389,762848,756299,716158,713811,715588,686791,688000,683675,683045,671280,683371,678226,668192,649179,639913,628915,618225,599252,585293,559611,533450,508313,489143,471601,445837,419050,399329,374565,350249,326901,311346,292928,273554,250791,
Total,17041539,17075437,16945336,0,16895632,16676795,16604360,16598069,16368938,16348051,16332713,16396866,16310696,16201889,16183024,16127649,16035611,15899674,15802587,15790868,15753129,15692053,15661889,15670818,15689414,15623522,15603251,15649708,15645584,15429136,15333990,15387956,15415366,15326934,15354264,15418791,15413677,15439011,15497752,15559218,15741312,15698395,15738392,15884572,15917452,15927115,16036043,16191261,16279902,16283299,16307488,16395959,16414788,16366354,16374353,16396649,16075660,15952823,15877832,15898600,15791985,15780787,15780525,15650573,15561129,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Última actualización 28/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extracción de datos 27/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comisión Nacional de los Mercados y la Competencia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La difusión de información que se realiza por este medio se hace únicamente a título informativo. Los datos anuales y trimestrales están sujetos a actualizaciones por parte de los operadores que suministran la información y, por lo tanto, puede haber modificaciones respecto a lo publicado, prevaleciendo siempre los últimos datos que se muestren.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
