Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66
3. COMUNICACIONES FIJAS   -   3.1. Telefonía fija minorista   -   b) Líneas y clientes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16. Número de líneas de telefonía fija por segmento,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I/2005,II/2005,III/2005,IV/2005,I/2006,II/2006,III/2006,IV/2006,I/2007,II/2007,III/2007,IV/2007,I/2008,II/2008,III/2008,IV/2008,I/2009,II/2009,III/2009,IV/2009,I/2010,II/2010,III/2010,IV/2010,I/2011,II/2011,III/2011,IV/2011,I/2012,II/2012,III/2012,IV/2012,I/2013,II/2013,III/2013,IV/2013,I/2014,II/2014,III/2014,IV/2014,I/2015,II/2015,III/2015,IV/2015,I/2016,II/2016,III/2016,IV/2016,I/2017,II/2017,III/2017,IV/2017,I/2018,II/2018,III/2018,IV/2018,I/2019,II/2019,III/2019,IV/2019,I/2020,II/2020,III/2020,IV/2020,I/2021,
Residencial,12598882,12763510,12774817,0,12614298,12609653,12652898,12761056,12748523,12755443,12807939,12916648,12979739,13050663,12997958,13047207,13135867,13077366,13068795,13129153,13165427,13188610,13188217,13246077,13315078,13223098,13217759,13312543,13023640,12991249,12966025,12989667,13018390,13004074,13029589,13089186,13091171,13104296,13164618,13280087,13337432,13201956,13247669,13379477,13510450,13508545,13607662,13758215,13563718,13552414,13572755,13653785,13646969,13612515,13621430,13657385,13641925,13597272,13573184,13593926,13502830,13536200,13567591,13463387,13405691,
Negocios,5500038,5607892,5546683,0,5592152,5614269,5522449,5527369,7087049,7136536,7138527,7171509,7380565,7516945,7413553,7365113,7105276,7019332,6976282,6937072,6904406,6834127,6773809,6698647,6600554,6510181,6466076,6425787,6585974,6510426,6418164,6339322,6222466,6136250,6066288,6016089,5999876,5912627,5852945,5808937,5797246,5860946,5815768,5781891,5660574,5659362,5651769,5635609,5880004,5878578,5854540,5840257,6015970,5998988,6001408,5999759,5958435,5971977,5928098,5917267,5922414,5904803,5888417,5847253,5762429,
Total,18098920,18371402,18321500,0,18206450,18223922,18175347,18288425,19835572,19891979,19946466,20088157,20360304,20567608,20411511,20412320,20241143,20096698,20045077,20066225,20069833,20022737,19962026,19944724,19915632,19733279,19683835,19738330,19609614,19501675,19384189,19328989,19240856,19140324,19095877,19105275,19091047,19016923,19017563,19089024,19134678,19062902,19063437,19161368,19171024,19167907,19259431,19393824,19443722,19430992,19427295,19494042,19662939,19611503,19622838,19657144,19600360,19569249,19501282,19511193,19425244,19441003,19456008,19310640,19168120,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"El número de líneas fijas no tiene por qué coincidir con los datos anuales, debido a que el número de operadores requeridos con periodicidad trimestral es menor. 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Última actualización 28/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extracción de datos 27/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comisión Nacional de los Mercados y la Competencia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La difusión de información que se realiza por este medio se hace únicamente a título informativo. Los datos anuales y trimestrales están sujetos a actualizaciones por parte de los operadores que suministran la información y, por lo tanto, puede haber modificaciones respecto a lo publicado, prevaleciendo siempre los últimos datos que se muestren.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
