Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66
1. DATOS GENERALES DEL SECTOR   -   b) Empleo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Empleo en el sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(número de empleados),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I/2005,II/2005,III/2005,IV/2005,I/2006,II/2006,III/2006,IV/2006,I/2007,II/2007,III/2007,IV/2007,I/2008,II/2008,III/2008,IV/2008,I/2009,II/2009,III/2009,IV/2009,I/2010,II/2010,III/2010,IV/2010,I/2011,II/2011,III/2011,IV/2011,I/2012,II/2012,III/2012,IV/2012,I/2013,II/2013,III/2013,IV/2013,I/2014,II/2014,III/2014,IV/2014,I/2015,II/2015,III/2015,IV/2015,I/2016,II/2016,III/2016,IV/2016,I/2017,II/2017,III/2017,IV/2017,I/2018,II/2018,III/2018,IV/2018,I/2019,II/2019,III/2019,IV/2019,I/2020,II/2020,III/2020,IV/2020,I/2021,
Movistar,38439,38000,37716,0,35477,35182,36110,35645,35303,34960,34625,32999,32900,32830,32888,32643,32475,32414,32412,32493,32303,32269,32250,32217,32086,31994,31840,30255,29063,28530,27762,27370,26876,26581,26591,25936,26147,26105,26104,26230,26206,27210,27298,27305,26471,24262,23953,23541,23283,22980,22555,22259,22147,21805,21259,20755,20760,20756,20845,18177,18169,18167,18277,18248,18226,
RTVE,9346,9403,9337,0,9332,9326,9315,8494,5037,5257,5764,5703,5795,6076,6199,6295,6388,6373,6396,6397,6394,6427,6409,6410,6421,6431,6495,6517,6468,6417,6363,6319,6323,6305,6324,6325,6304,6302,6306,6302,6285,6279,6280,6277,6272,6278,6265,6290,6301,6297,6288,6295,6352,6361,6370,6458,6480,6506,6431,6542,6533,6523,6432,6537,6520,
Orange,3115,2917,2931,0,3497,3411,3854,3803,3752,3746,3697,3715,3669,3753,3268,3326,3330,3244,3459,3440,3209,3210,3078,3071,3026,3026,3009,3002,2973,2963,2963,3962,4070,4052,4089,3988,3984,4072,4051,4009,4025,4029,5375,5344,5308,5092,5174,5303,5314,5357,5451,5448,5367,5472,5564,5626,5747,5729,5823,5794,5737,5770,5814,5891,5806,
Vodafone,4480,4487,4514,0,4522,4455,4467,4474,4340,4325,4292,4298,4324,4315,4334,4333,4323,4299,4305,4326,4383,4388,4391,4113,4361,4349,4376,4384,4334,4227,4231,4206,4171,3512,3501,3614,3684,3638,6072,6059,6092,6052,6116,5704,5153,5108,5115,5095,4981,4962,5034,5034,5103,5180,5125,5165,5119,4348,4228,4246,4256,4207,4176,4260,4276,
Televisió de Catalunya,1942,1983,1961,0,1986,2001,1935,2003,1990,1965,1946,1944,1974,1969,1963,1959,1977,1981,1979,1978,1960,1965,1972,1933,1864,1858,1875,1881,2097,2073,2061,2071,2056,2054,2045,2030,2400,2342,2325,2331,2290,2287,2280,2269,2244,2240,2240,2244,2231,2218,2236,2243,2267,2265,2276,2313,2308,2308,2304,2285,2301,2291,2290,2351,2321,
Canal Sur (RTVA),973,981,1001,0,982,944,1008,1004,999,1028,1028,1048,1031,1025,1055,1035,1019,1017,1033,1015,1019,1018,1021,1006,1010,1023,1000,1008,1004,979,967,957,954,955,945,937,929,927,922,922,920,920,921,918,1198,1197,1198,1199,1197,1189,1193,1203,1203,1203,1203,1215,1230,1225,1214,1206,1198,1191,1189,1196,1179,
Ono,4352,4380,4386,0,4543,4491,4519,4689,4532,4384,4501,4499,4549,4719,4292,4209,3431,3404,3437,3344,3342,3330,3151,3082,3059,3015,2994,2949,2884,2847,2821,2776,2700,2586,2578,2543,2541,2456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Resto,15562,15188,15628,0,15401,16108,16021,14946,18205,18077,17991,18177,18401,18409,18150,18102,18118,18206,17906,17874,18156,18271,18256,18214,17915,17802,17157,17938,18625,18179,17682,17481,16139,15696,15208,15967,14463,14448,14517,14371,14679,13736,13145,13181,13103,13360,13384,13307,13343,13421,14045,14224,14464,14439,14794,15141,15260,15522,15815,16059,16453,16259,16728,16999,17464,
Total,78209,77339,77474,0,75740,75918,77229,75058,74158,73742,73844,72383,72643,73096,72149,71902,71061,70938,70927,70867,70766,70878,70528,70046,69742,69498,68746,67934,67448,66215,64850,65142,63289,61741,61281,61340,60452,60290,60297,60224,60497,60513,61415,60998,59749,57537,57329,56979,56650,56424,56802,56706,56903,56725,56591,56673,56904,56394,56660,54309,54647,54408,54906,55482,55792,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orange incluye Jazztel a partir del 3er trimestre de 2015. Movistar incluye Telefónica de España S.A.U. y Telefónica Móviles España S.A.U. para toda la serie histórica, así como DTS a partir del 2º trimestre de 2015 y TAD a partir del 1er trimestre de 2016. Vodafone incluye Ono a partir del 3er trimestre de 2014. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
