Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67
1. DATOS GENERALES DEL SECTOR   -   a) Ingresos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Ingresos de los servicios mayoristas y tasa de variación interanual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(millones de euros y porcentaje),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,I/2005,II/2005,III/2005,IV/2005,I/2006,II/2006,III/2006,IV/2006,I/2007,II/2007,III/2007,IV/2007,I/2008,II/2008,III/2008,IV/2008,I/2009,II/2009,III/2009,IV/2009,I/2010,II/2010,III/2010,IV/2010,I/2011,II/2011,III/2011,IV/2011,I/2012,II/2012,III/2012,IV/2012,I/2013,II/2013,III/2013,IV/2013,I/2014,II/2014,III/2014,IV/2014,I/2015,II/2015,III/2015,IV/2015,I/2016,II/2016,III/2016,IV/2016,I/2017,II/2017,III/2017,IV/2017,I/2018,II/2018,III/2018,IV/2018,I/2019,II/2019,III/2019,IV/2019,I/2020,II/2020,III/2020,IV/2020,I/2021,
Interconexión,,1235.97,1404.38,1577.73,0.00,1350.33,1445.50,1519.62,1368.30,1369.26,1424.48,1498.73,1342.61,1310.28,1333.22,1444.40,1246.77,1163.67,1182.39,1248.90,1083.82,1046.14,1069.05,1129.60,995.40,966.24,981.58,1051.00,951.56,913.46,870.63,931.10,852.93,812.30,836.80,684.71,673.10,672.37,681.57,701.43,654.99,596.97,673.10,702.82,710.68,632.52,701.98,803.41,709.24,577.64,622.29,710.57,612.42,523.57,567.84,621.69,607.41,528.56,595.34,717.63,651.28,633.88,594.26,638.76,631.26,624.86,
,,--,--,--,--,9.3%,2.9%,-3.7%,--,1.4%,-1.5%,-1.4%,-1.9%,-4.3%,-6.4%,-3.6%,-7.1%,-11.2%,-11.3%,-13.5%,-13.1%,-10.1%,-9.6%,-9.6%,-8.2%,-7.6%,-8.2%,-7.0%,-4.4%,-5.5%,-11.3%,-11.4%,-10.4%,-11.1%,-3.9%,-26.5%,-21.1%,-17.2%,-18.6%,2.4%,-2.7%,-11.2%,-1.2%,0.2%,8.5%,6.0%,4.3%,14.3%,-0.2%,-8.7%,-11.4%,-11.6%,-13.7%,-9.4%,-8.7%,-12.5%,-0.8%,1.0%,4.8%,15.4%,7.2%,19.9%,-0.2%,-11.0%,-3.1%,-1.4%,
,Interconexión fija,308.57,327.65,363.51,0.00,375.04,372.52,329.60,365.73,394.03,398.90,440.44,427.91,392.27,407.16,448.60,418.06,400.70,397.92,414.36,407.70,397.15,397.97,403.99,370.41,367.69,371.33,389.62,408.41,383.69,375.90,377.62,388.22,380.73,386.60,349.07,367.36,373.39,345.07,327.15,296.43,254.41,262.65,261.93,278.72,262.78,291.94,293.14,277.09,241.07,241.46,225.60,224.61,202.62,207.77,211.04,232.79,191.27,208.69,232.11,229.87,219.34,198.12,183.85,200.22,190.04,
,,--,--,--,--,21.5%,13.7%,-9.3%,--,5.1%,7.1%,33.6%,17.0%,-0.4%,2.1%,1.9%,-2.3%,2.1%,-2.3%,-7.6%,-2.5%,-0.9%,0.0%,-2.5%,-9.1%,-7.4%,-6.7%,-3.6%,10.3%,4.4%,1.2%,-3.1%,-4.9%,-0.8%,2.8%,-7.6%,-5.4%,-1.9%,-10.7%,-6.3%,-19.3%,-31.9%,-23.9%,-19.9%,-6.0%,3.3%,11.2%,11.9%,-0.6%,-8.3%,-17.3%,-23.0%,-18.9%,-15.9%,-14.0%,-6.5%,3.6%,-5.6%,0.4%,10.0%,-1.3%,14.7%,-5.1%,-20.8%,-12.9%,-13.4%,
,Interconexión móvil,927.41,1076.73,1214.22,0.00,975.29,1072.99,1190.02,1002.57,975.22,1025.58,1058.29,914.70,918.01,926.06,995.81,828.71,762.97,784.47,834.54,676.11,648.98,671.09,725.61,624.99,598.55,610.25,661.38,543.15,529.77,494.72,553.48,464.71,431.57,450.21,335.64,305.74,298.98,336.50,374.28,358.56,342.56,410.44,440.88,431.96,369.74,410.04,510.27,432.15,336.57,380.83,484.97,387.81,320.94,360.07,410.64,374.62,337.28,386.66,485.52,421.41,414.55,396.14,454.91,431.04,434.81,
,,--,--,--,--,5.2%,-0.3%,-2.0%,--,-0.0%,-4.4%,-11.1%,-8.8%,-5.9%,-9.7%,-5.9%,-9.4%,-16.9%,-15.3%,-16.2%,-18.4%,-14.9%,-14.5%,-13.1%,-7.6%,-7.8%,-9.1%,-8.9%,-13.1%,-11.5%,-18.9%,-16.3%,-14.4%,-18.5%,-9.0%,-39.4%,-34.2%,-30.7%,-25.3%,11.5%,17.3%,14.6%,22.0%,17.8%,20.5%,7.9%,-0.1%,15.7%,0.0%,-9.0%,-7.1%,-5.0%,-10.3%,-4.6%,-5.5%,-15.3%,-3.4%,5.1%,7.4%,18.2%,12.5%,22.9%,2.5%,-6.3%,2.3%,4.9%,
Alquiler de circuitos,,142.52,135.95,148.17,0.00,156.57,159.51,106.72,140.50,154.23,158.10,157.74,167.40,152.00,148.62,146.50,164.41,149.38,155.74,170.15,180.38,162.49,172.45,178.44,190.40,188.54,181.87,168.01,178.07,176.86,175.39,178.36,178.58,178.91,174.41,170.53,165.73,152.62,158.70,159.69,165.26,188.81,198.63,203.33,206.94,204.62,214.84,207.41,202.10,200.49,193.57,192.73,198.63,203.51,223.09,226.75,126.79,182.86,184.36,185.99,194.62,191.01,200.56,195.07,196.87,202.12,
,,--,--,--,--,9.9%,17.3%,-28.0%,--,-1.5%,-0.9%,47.8%,19.1%,-1.4%,-6.0%,-7.1%,-1.8%,-1.7%,4.8%,16.1%,9.7%,8.8%,10.7%,4.9%,5.6%,16.0%,5.5%,-5.8%,-6.5%,-6.2%,-3.6%,6.2%,0.3%,1.2%,-0.6%,-4.4%,-7.2%,-14.7%,-9.0%,-6.4%,-0.3%,23.7%,25.2%,27.3%,25.2%,8.4%,8.2%,2.0%,-2.3%,-2.0%,-9.9%,-7.1%,-1.7%,1.5%,15.3%,17.7%,-36.2%,-10.1%,-17.4%,-18.0%,53.5%,4.5%,8.8%,4.9%,1.2%,5.8%,
Transmisión de datos,,45.20,45.73,42.82,0.00,17.74,17.07,14.68,13.49,16.59,17.27,17.19,16.99,15.29,15.76,14.25,14.13,9.31,9.86,7.97,12.21,5.51,4.88,5.83,5.47,7.03,6.15,3.44,4.74,6.95,7.03,8.46,6.18,8.01,7.14,6.71,7.14,6.89,7.18,6.41,8.11,12.59,12.03,11.47,11.27,36.29,29.16,28.73,32.96,49.10,52.82,54.66,55.61,45.57,50.31,50.35,49.29,49.68,50.37,51.39,50.45,45.23,44.66,41.29,42.23,41.71,
,,--,--,--,--,-60.8%,-62.7%,-65.7%,--,-6.5%,1.2%,17.1%,25.9%,-7.8%,-8.7%,-17.1%,-16.8%,-39.1%,-37.4%,-44.1%,-13.6%,-40.8%,-50.5%,-26.9%,-55.2%,27.6%,26.0%,-41.0%,-13.3%,-1.1%,14.3%,145.9%,30.4%,15.3%,1.6%,-20.7%,15.5%,-14.0%,0.6%,-4.5%,13.6%,82.7%,67.5%,78.9%,39.0%,188.2%,142.4%,150.5%,192.5%,35.3%,81.1%,90.3%,68.7%,-7.2%,-4.8%,-7.9%,-11.4%,9.0%,0.1%,2.1%,2.4%,-9.0%,-11.3%,-19.7%,-16.3%,-7.8%,
Banda ancha fija,,143.01,158.69,164.56,0.00,95.00,105.30,93.73,87.40,88.40,90.24,80.84,82.54,84.91,86.64,84.78,85.19,82.81,87.37,86.14,92.13,98.58,116.17,109.21,130.64,126.92,135.36,132.32,150.06,149.15,146.28,145.63,151.45,154.25,159.01,162.74,175.08,171.15,169.22,171.18,179.02,183.06,171.95,174.26,177.64,173.33,177.57,171.72,188.80,189.27,189.63,195.96,220.75,224.92,227.95,221.70,236.90,227.81,224.48,221.19,237.48,217.07,224.57,231.31,237.54,235.01,
,,--,--,--,--,-33.6%,-33.6%,-43.0%,--,-6.9%,-14.3%,-13.8%,-5.6%,-3.9%,-4.0%,4.9%,3.2%,-2.5%,0.8%,1.6%,8.1%,19.0%,33.0%,26.8%,41.8%,28.7%,16.5%,21.2%,14.9%,17.5%,8.1%,10.1%,0.9%,3.4%,8.7%,11.7%,15.6%,11.0%,6.4%,5.2%,2.3%,7.0%,1.6%,1.8%,-0.8%,-5.3%,3.3%,-1.5%,6.3%,9.2%,6.8%,14.1%,16.9%,18.8%,20.2%,13.1%,7.3%,1.3%,-1.5%,-0.2%,0.2%,-4.7%,0.0%,4.6%,0.0%,8.3%,
