Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66
1. DATOS GENERALES DEL SECTOR   -   a) Ingresos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Ingresos de los servicios mayoristas por operador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(millones de euros),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I/2005,II/2005,III/2005,IV/2005,I/2006,II/2006,III/2006,IV/2006,I/2007,II/2007,III/2007,IV/2007,I/2008,II/2008,III/2008,IV/2008,I/2009,II/2009,III/2009,IV/2009,I/2010,II/2010,III/2010,IV/2010,I/2011,II/2011,III/2011,IV/2011,I/2012,II/2012,III/2012,IV/2012,I/2013,II/2013,III/2013,IV/2013,I/2014,II/2014,III/2014,IV/2014,I/2015,II/2015,III/2015,IV/2015,I/2016,II/2016,III/2016,IV/2016,I/2017,II/2017,III/2017,IV/2017,I/2018,II/2018,III/2018,IV/2018,I/2019,II/2019,III/2019,IV/2019,I/2020,II/2020,III/2020,IV/2020,I/2021,
Movistar,904.44,981.37,1072.07,0.00,885.34,929.92,860.35,846.21,847.66,881.05,907.96,849.17,834.60,848.78,918.43,833.23,782.66,792.94,840.22,778.03,744.76,778.36,802.00,754.68,738.55,751.76,770.80,746.04,707.71,678.83,692.81,655.29,634.41,658.50,619.29,609.32,591.12,615.06,632.18,628.05,588.98,696.23,740.49,820.34,832.39,926.16,1334.90,1132.12,1066.39,1107.21,1160.97,1164.56,1112.86,1171.38,1215.17,1175.59,1150.91,1210.27,1254.68,1336.21,1234.31,1227.20,1170.43,1260.26,1216.15,
Orange,225.78,271.34,289.80,0.00,249.97,281.04,300.88,263.91,263.25,274.13,296.45,263.38,215.55,221.56,240.43,209.72,191.69,186.25,202.27,175.61,182.55,188.60,208.01,193.12,185.41,184.35,203.24,182.88,170.28,164.59,182.64,168.18,170.68,177.49,150.03,148.90,154.74,159.28,180.31,179.99,171.71,193.45,256.77,281.56,186.25,201.28,216.08,225.94,211.15,237.20,255.31,239.01,228.53,242.22,269.36,289.50,245.87,262.93,304.65,305.70,405.73,410.13,401.67,404.12,405.49,
Vodafone,322.39,375.48,443.12,0.00,353.05,391.38,446.51,375.33,381.71,405.25,418.00,361.99,364.82,366.75,384.04,322.13,289.28,309.49,318.35,256.08,248.01,253.35,264.89,228.77,219.42,223.12,232.01,194.78,199.60,191.66,224.20,194.17,181.40,178.52,133.04,127.92,130.28,137.20,184.39,165.16,152.24,179.85,212.53,212.65,225.72,261.91,309.19,251.24,194.84,204.73,236.43,204.51,202.20,198.41,210.30,189.41,201.00,209.95,230.79,223.63,214.15,194.17,215.26,221.82,173.58,
Grupo MASMOVIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.77,33.06,32.40,31.12,30.89,30.33,36.93,39.68,49.67,45.43,49.10,59.29,51.74,64.66,64.25,71.40,85.32,96.99,
Cellnex Telecom,55.56,58.48,57.62,0.00,73.42,71.60,74.96,76.47,80.27,80.41,82.53,82.24,85.89,85.45,86.58,88.37,92.36,94.16,95.05,95.39,96.24,77.56,76.83,90.06,91.01,91.06,90.65,96.14,92.52,90.20,88.12,89.05,87.04,83.72,83.70,82.37,83.87,78.23,74.41,83.03,77.80,76.27,69.50,67.34,69.74,77.13,78.20,79.32,77.99,77.52,75.60,78.56,74.90,75.61,76.10,76.91,76.64,75.75,78.19,83.13,83.32,79.29,76.95,74.54,71.51,
Telxius,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.68,32.47,36.12,37.00,37.91,34.67,38.99,35.91,36.90,32.72,34.09,34.98,33.42,34.97,35.04,27.81,31.38,25.02,25.02,23.40,
