Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67
1. DATOS GENERALES DEL SECTOR   -   a) Ingresos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Ingresos de los servicios minoristas y tasa de variación interanual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(millones de euros y porcentaje),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,I/2005,II/2005,III/2005,IV/2005,I/2006,II/2006,III/2006,IV/2006,I/2007,II/2007,III/2007,IV/2007,I/2008,II/2008,III/2008,IV/2008,I/2009,II/2009,III/2009,IV/2009,I/2010,II/2010,III/2010,IV/2010,I/2011,II/2011,III/2011,IV/2011,I/2012,II/2012,III/2012,IV/2012,I/2013,II/2013,III/2013,IV/2013,I/2014,II/2014,III/2014,IV/2014,I/2015,II/2015,III/2015,IV/2015,I/2016,II/2016,III/2016,IV/2016,I/2017,II/2017,III/2017,IV/2017,I/2018,II/2018,III/2018,IV/2018,I/2019,II/2019,III/2019,IV/2019,I/2020,II/2020,III/2020,IV/2020,I/2021,
Comunicaciones fijas,,2894.15,2954.88,2885.90,0.00,2865.94,2844.00,2900.16,2904.36,2991.94,3012.05,2972.30,3028.50,3080.54,3117.50,3037.95,3045.11,2967.92,2938.17,2865.66,2860.38,2845.69,2849.96,2760.90,2731.08,2683.79,2662.14,2633.03,2611.65,2550.17,2491.01,2420.98,2405.64,2343.90,2298.87,2229.46,2207.47,2159.58,2133.97,2084.06,2071.83,2051.07,2053.88,2035.10,2015.57,2021.09,2042.66,2028.21,2031.55,2041.91,2062.03,2067.54,2059.58,2021.07,2010.26,1996.05,1994.17,1966.35,1948.19,1922.08,1918.98,1887.85,1811.60,1873.61,1852.68,1835.78,
,,--,--,--,--,-1.0%,-3.8%,0.5%,--,4.4%,5.9%,2.5%,4.3%,3.0%,3.5%,2.2%,0.5%,-3.7%,-5.8%,-5.7%,-6.1%,-4.1%,-3.0%,-3.7%,-4.5%,-5.7%,-6.6%,-4.6%,-4.4%,-5.0%,-6.4%,-8.1%,-7.9%,-8.1%,-7.7%,-7.9%,-8.2%,-7.9%,-7.2%,-6.5%,-6.1%,-5.0%,-3.8%,-2.3%,-2.7%,-1.5%,-0.5%,-0.3%,0.8%,1.0%,0.9%,1.9%,1.4%,-1.0%,-2.5%,-3.5%,-3.2%,-2.7%,-3.1%,-3.7%,-3.8%,-4.0%,-7.0%,-2.5%,-3.5%,-2.8%,
,Telefonía fija,2073.23,2093.24,2004.17,0.00,1926.47,1866.21,1828.65,1853.05,1824.19,1814.04,1782.85,1775.84,1800.30,1780.88,1717.40,1714.16,1621.66,1574.53,1518.67,1494.18,1499.85,1477.14,1422.16,1383.79,1371.38,1342.50,1316.13,1305.69,1267.04,1223.73,1164.08,1132.07,1088.83,1067.04,1009.80,989.60,908.18,892.11,838.41,826.49,797.74,772.18,745.88,729.82,686.11,663.04,630.59,644.68,617.27,612.23,603.18,576.81,586.43,568.16,549.65,536.80,541.14,521.21,497.04,480.13,459.87,450.75,436.41,416.39,393.93,
,,--,--,--,--,-7.1%,-10.8%,-8.8%,--,-5.3%,-2.8%,-2.5%,-4.2%,-1.3%,-1.8%,-3.7%,-3.5%,-9.9%,-11.6%,-11.6%,-12.8%,-7.5%,-6.2%,-6.4%,-7.4%,-8.6%,-9.1%,-7.5%,-5.6%,-7.6%,-8.8%,-11.6%,-13.3%,-14.1%,-12.8%,-13.3%,-12.6%,-16.6%,-16.4%,-17.0%,-16.5%,-12.2%,-13.4%,-11.0%,-11.7%,-14.0%,-14.1%,-15.5%,-11.7%,-10.0%,-7.7%,-4.3%,-10.5%,-5.0%,-7.2%,-8.9%,-6.9%,-7.7%,-8.3%,-9.6%,-10.6%,-15.0%,-13.5%,-12.2%,-13.3%,-14.3%,
,Banda ancha fija,481.21,526.04,547.43,0.00,626.36,670.49,730.56,720.87,823.12,849.26,845.91,890.66,921.63,974.21,954.87,963.96,968.17,987.35,974.33,982.77,971.09,987.11,955.19,957.11,941.97,942.02,940.48,940.40,912.01,898.91,894.40,898.09,891.48,883.73,869.39,868.27,897.08,890.27,900.89,903.57,913.53,938.62,953.08,952.61,998.30,1035.12,1066.89,1056.88,1075.80,1106.80,1116.93,1130.22,1090.80,1085.78,1090.78,1098.98,1073.16,1073.00,1057.71,1073.96,1068.07,1053.23,1092.02,1099.96,1112.53,
,,--,--,--,--,30.2%,27.5%,33.5%,--,31.4%,26.7%,15.8%,23.6%,12.0%,14.7%,12.9%,8.2%,5.0%,1.3%,2.0%,2.0%,0.3%,-0.0%,-2.0%,-2.6%,-3.0%,-4.6%,-1.5%,-1.7%,-3.2%,-4.6%,-4.9%,-4.5%,-2.3%,-1.7%,-2.8%,-3.3%,0.6%,0.7%,3.6%,4.1%,1.8%,5.4%,5.8%,5.4%,9.3%,10.3%,11.9%,10.9%,7.8%,6.9%,4.7%,6.9%,1.4%,-1.9%,-2.3%,-2.8%,-1.6%,-1.2%,-3.0%,-2.3%,-0.5%,-1.8%,3.2%,2.4%,4.2%,
