Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66
1. DATOS GENERALES DEL SECTOR   -   a) Ingresos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Ingresos de los servicios minoristas por operador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(millones de euros),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I/2005,II/2005,III/2005,IV/2005,I/2006,II/2006,III/2006,IV/2006,I/2007,II/2007,III/2007,IV/2007,I/2008,II/2008,III/2008,IV/2008,I/2009,II/2009,III/2009,IV/2009,I/2010,II/2010,III/2010,IV/2010,I/2011,II/2011,III/2011,IV/2011,I/2012,II/2012,III/2012,IV/2012,I/2013,II/2013,III/2013,IV/2013,I/2014,II/2014,III/2014,IV/2014,I/2015,II/2015,III/2015,IV/2015,I/2016,II/2016,III/2016,IV/2016,I/2017,II/2017,III/2017,IV/2017,I/2018,II/2018,III/2018,IV/2018,I/2019,II/2019,III/2019,IV/2019,I/2020,II/2020,III/2020,IV/2020,I/2021,
Movistar,4078.54,4247.06,4235.75,0.00,4103.40,4158.68,4393.21,4379.44,4396.62,4467.96,4551.30,4546.00,4556.64,4621.08,4738.71,4546.99,4340.23,4292.50,4313.50,4515.26,4097.39,4102.21,4158.27,4110.06,3838.53,3824.24,3697.21,3701.54,3382.30,3263.36,3073.03,3075.98,2761.96,2780.71,2692.29,2720.58,2503.36,2486.11,2446.05,2571.03,2348.07,2664.74,2646.99,2676.63,2554.01,2595.78,2645.08,2701.22,2535.84,2609.53,2611.47,2677.05,2589.03,2622.75,2609.94,2702.90,2610.55,2654.24,2630.37,2644.09,2498.42,2371.54,2455.37,2467.55,2349.59,
Vodafone,966.36,1099.28,1140.55,0.00,1176.02,1331.68,1366.29,1451.02,1358.09,1530.56,1381.84,1500.00,1345.28,1413.94,1429.18,1427.69,1329.45,1358.18,1365.87,1368.99,1227.52,1300.87,1288.62,1277.75,1223.14,1191.29,1235.72,1201.01,1110.91,1035.27,1065.45,1072.75,995.50,983.03,966.39,975.23,895.61,837.62,1150.84,1190.03,1175.61,1168.69,1187.16,1201.86,1164.81,1186.62,1190.39,1205.03,1175.43,1183.95,1206.85,1201.13,1130.55,1150.94,1116.77,1091.81,1066.71,1010.84,1010.16,1047.37,955.43,914.41,972.80,976.34,967.70,
Orange,737.20,752.89,813.61,0.00,785.50,780.77,766.46,757.64,798.93,798.70,850.31,830.54,815.22,801.09,826.43,796.44,764.02,775.10,796.62,783.49,744.55,764.76,790.38,780.75,775.76,802.69,837.03,830.02,809.34,841.28,844.47,842.42,822.33,854.34,887.21,840.79,819.88,783.80,795.73,797.43,761.61,738.29,1037.04,1027.75,1010.31,1035.53,1074.73,1089.42,1088.71,1112.41,1141.71,1143.48,1105.81,1116.71,1117.48,1133.66,1084.70,1077.36,1053.59,1074.42,1029.03,978.38,981.38,963.97,981.58,
Grupo MASMOVIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,258.46,263.16,278.97,310.61,320.62,334.50,361.02,364.77,379.81,410.45,419.82,439.12,452.92,448.96,484.66,506.64,516.49,498.81,
Atresmedia,201.35,252.82,154.21,0.00,220.40,255.38,147.37,246.60,215.38,257.50,157.47,247.69,189.69,226.51,126.08,180.02,149.62,163.13,110.79,180.81,168.28,180.30,117.67,188.60,164.52,173.60,119.54,173.93,150.95,142.76,97.42,199.14,164.39,187.17,128.35,194.28,171.42,197.52,142.92,213.95,187.98,224.81,154.17,221.75,202.18,242.06,154.07,228.08,205.28,227.09,152.22,228.47,194.78,225.67,145.91,223.39,193.26,207.00,137.68,232.04,174.16,118.59,144.09,224.74,161.73,
Mediaset España,181.41,251.57,136.92,0.00,193.04,249.71,146.67,241.52,224.59,273.25,169.44,266.23,211.70,263.83,145.44,205.47,134.72,134.42,90.85,175.65,172.99,198.14,130.57,188.98,165.61,157.33,165.11,230.29,182.23,212.67,125.91,180.60,152.06,177.00,116.06,197.51,153.94,202.25,146.88,209.10,171.97,205.48,147.96,216.58,179.86,230.56,149.30,217.79,191.84,217.24,152.87,226.04,182.22,225.15,149.64,225.21,181.22,200.61,139.00,224.44,168.56,101.00,133.13,214.85,137.03,
