Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66
1. DATOS GENERALES DEL SECTOR   -   a) Ingresos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Ingresos totales del sector y tasa de variación interanual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(millones de euros y porcentaje),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I/2005,II/2005,III/2005,IV/2005,I/2006,II/2006,III/2006,IV/2006,I/2007,II/2007,III/2007,IV/2007,I/2008,II/2008,III/2008,IV/2008,I/2009,II/2009,III/2009,IV/2009,I/2010,II/2010,III/2010,IV/2010,I/2011,II/2011,III/2011,IV/2011,I/2012,II/2012,III/2012,IV/2012,I/2013,II/2013,III/2013,IV/2013,I/2014,II/2014,III/2014,IV/2014,I/2015,II/2015,III/2015,IV/2015,I/2016,II/2016,III/2016,IV/2016,I/2017,II/2017,III/2017,IV/2017,I/2018,II/2018,III/2018,IV/2018,I/2019,II/2019,III/2019,IV/2019,I/2020,II/2020,III/2020,IV/2020,I/2021,
Servicios minoristas,7610.59,8158.94,7765.94,0.00,8041.86,8435.88,8207.20,8784.47,8649.49,9100.74,8574.07,9216.68,8854.29,9158.19,8793.75,9022.48,8418.38,8436.58,8156.72,8748.79,8025.99,8243.88,8061.93,8281.97,7842.34,7893.89,7678.09,7857.63,7294.14,7156.89,6903.06,7082.75,6534.01,6664.98,6451.23,6742.71,6190.27,6162.57,5944.42,6359.17,5959.72,6123.11,6006.46,6229.64,5935.20,6136.70,6036.61,6352.95,6043.01,6240.78,6160.90,6460.87,6128.52,6327.70,6069.37,6410.50,6158.52,6210.32,6004.14,6382.38,5881.76,5509.96,5752.70,6031.56,5668.45,
,--,0.0%,0.0%,0.0%,5.7%,3.4%,5.7%,0.0%,7.6%,7.9%,4.5%,4.9%,2.4%,0.6%,2.6%,-2.1%,-4.9%,-7.9%,-7.2%,-3.0%,-4.7%,-2.3%,-1.2%,-5.3%,-2.3%,-4.2%,-4.8%,-5.1%,-7.0%,-9.3%,-10.1%,-9.9%,-10.4%,-6.9%,-6.5%,-4.8%,-5.3%,-7.5%,-7.9%,-5.7%,-3.7%,-0.6%,1.0%,-2.0%,-0.4%,0.2%,0.5%,2.0%,1.8%,1.7%,2.1%,1.7%,1.4%,1.4%,-1.5%,-0.8%,0.5%,-1.9%,-1.1%,-0.4%,-4.5%,-11.3%,-4.2%,-5.5%,-3.6%,
Servicios mayoristas,1716.53,1909.06,2087.66,0.00,1717.79,1831.92,1861.59,1734.60,1775.51,1845.30,1911.67,1775.49,1717.15,1740.54,1846.52,1673.62,1574.31,1604.62,1681.41,1543.69,1511.16,1542.89,1602.91,1524.46,1513.31,1524.89,1570.48,1517.19,1479.24,1425.15,1485.36,1461.79,1412.97,1435.76,1279.66,1293.08,1298.37,1314.33,1326.34,1321.84,1288.79,1364.03,1459.04,1585.38,1605.01,1764.57,2399.81,2161.23,2034.81,2065.96,2325.87,2275.58,2184.51,2246.89,2322.36,2304.85,2260.38,2357.76,2270.28,2363.90,2353.10,2281.96,2252.15,2444.88,2303.86,
,--,0.0%,0.0%,0.0%,0.1%,-4.0%,-10.8%,0.0%,3.4%,0.7%,2.7%,2.4%,-3.3%,-5.7%,-3.4%,-5.7%,-8.3%,-7.8%,-8.9%,-7.8%,-4.0%,-3.8%,-4.7%,-1.2%,0.1%,-1.2%,-2.0%,-0.5%,-2.3%,-6.5%,-5.4%,-3.7%,-4.5%,0.7%,-13.8%,-11.5%,-8.1%,-8.5%,3.6%,2.2%,-0.7%,3.8%,10.0%,19.9%,24.5%,29.4%,64.5%,36.3%,26.8%,17.1%,-3.1%,5.3%,7.4%,8.8%,-0.2%,1.3%,3.5%,4.9%,-2.2%,2.6%,4.1%,-3.2%,-0.8%,3.4%,-2.1%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los ingresos mayoristas incluyen la venta a terceros operadores y la venta a empresas del mismo grupo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
