Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66
1. DATOS GENERALES DEL SECTOR   -   a) Ingresos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Ingresos totales del sector por operador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(millones de euros),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I/2005,II/2005,III/2005,IV/2005,I/2006,II/2006,III/2006,IV/2006,I/2007,II/2007,III/2007,IV/2007,I/2008,II/2008,III/2008,IV/2008,I/2009,II/2009,III/2009,IV/2009,I/2010,II/2010,III/2010,IV/2010,I/2011,II/2011,III/2011,IV/2011,I/2012,II/2012,III/2012,IV/2012,I/2013,II/2013,III/2013,IV/2013,I/2014,II/2014,III/2014,IV/2014,I/2015,II/2015,III/2015,IV/2015,I/2016,II/2016,III/2016,IV/2016,I/2017,II/2017,III/2017,IV/2017,I/2018,II/2018,III/2018,IV/2018,I/2019,II/2019,III/2019,IV/2019,I/2020,II/2020,III/2020,IV/2020,I/2021,
Movistar,4982.98,5228.42,5307.82,0.00,4988.74,5088.61,5253.56,5225.65,5244.28,5349.00,5459.26,5395.17,5391.24,5469.85,5657.13,5380.22,5122.89,5085.43,5153.72,5293.29,4842.15,4880.57,4960.28,4864.74,4577.08,4576.00,4468.01,4447.58,4090.01,3942.19,3765.84,3731.28,3396.36,3439.21,3311.58,3329.91,3094.48,3101.17,3078.23,3199.08,2937.04,3360.97,3387.47,3496.97,3386.40,3521.94,3979.98,3833.33,3602.23,3716.73,3772.43,3841.61,3701.89,3794.13,3825.11,3878.49,3761.46,3864.51,3885.05,3980.30,3732.73,3598.74,3625.80,3727.80,3565.74,
Orange,962.98,1024.23,1103.41,0.00,1035.47,1061.81,1067.34,1021.55,1062.17,1072.83,1146.76,1093.91,1030.78,1022.65,1066.86,1006.16,955.71,961.36,998.89,959.11,927.10,953.36,998.38,973.88,961.18,987.04,1040.26,1012.90,979.62,1005.87,1027.11,1010.60,993.01,1031.83,1037.24,989.69,974.62,943.08,976.04,977.41,933.32,931.74,1293.81,1309.31,1196.57,1236.81,1290.81,1315.36,1299.86,1349.61,1397.02,1382.49,1334.34,1358.93,1386.84,1423.15,1330.57,1340.29,1358.23,1380.13,1434.76,1388.52,1383.05,1368.10,1387.07,
Vodafone,1288.75,1474.76,1583.67,0.00,1529.07,1723.06,1812.80,1826.34,1739.79,1935.82,1799.84,1861.99,1710.10,1780.69,1813.22,1749.83,1618.73,1667.67,1684.21,1625.07,1475.53,1554.21,1553.51,1506.52,1442.56,1414.41,1467.73,1395.79,1310.52,1226.94,1289.65,1266.92,1176.90,1161.55,1099.43,1103.15,1025.89,974.81,1335.23,1355.19,1327.85,1348.54,1399.69,1414.52,1390.53,1448.53,1499.58,1456.27,1370.27,1388.68,1443.28,1405.64,1332.75,1349.35,1327.07,1281.23,1267.71,1220.78,1240.96,1271.00,1169.58,1108.58,1188.05,1198.16,1141.28,
Grupo MASMOVIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,293.23,296.21,311.37,341.74,351.51,364.83,397.95,404.44,429.48,455.88,468.92,498.41,504.66,513.61,548.92,578.04,601.81,595.80,
Atresmedia,201.35,252.82,154.21,0.00,220.40,255.38,147.37,246.60,215.38,257.50,157.47,247.69,189.69,226.51,126.08,180.02,149.62,163.13,110.79,180.81,169.23,181.04,118.47,188.81,165.09,173.89,120.06,174.41,151.46,143.54,97.54,199.76,164.73,188.17,128.42,196.78,172.36,201.29,144.75,215.63,190.28,228.24,159.03,224.25,210.21,248.06,160.45,233.58,216.00,235.19,165.44,242.09,207.68,233.18,152.28,227.01,205.06,213.48,144.51,238.04,183.20,125.96,150.36,234.44,169.45,
Mediaset España,181.41,251.57,136.92,0.00,193.04,249.71,146.67,241.52,224.59,273.25,169.44,266.23,211.70,263.83,145.44,205.47,134.72,134.42,90.85,175.65,173.22,199.42,130.82,189.80,225.08,229.71,166.80,232.21,183.57,214.47,127.77,198.17,160.95,181.70,118.41,200.54,162.01,215.14,152.07,214.30,175.58,208.02,150.67,235.22,188.26,235.67,151.83,227.82,196.81,221.93,157.58,238.64,188.96,230.72,153.61,233.71,186.37,210.80,143.46,232.97,187.28,113.24,137.93,223.39,148.52,
