Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
2. INFRAESTRUCTURAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Accesos NGA en servicio por tipo de soporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I/2012,II/2012,III/2012,IV/2012,I/2013,II/2013,III/2013,IV/2013,I/2014,II/2014,III/2014,IV/2014,I/2015,II/2015,III/2015,IV/2015,I/2016,II/2016,III/2016,IV/2016,I/2017,II/2017,III/2017,IV/2017,I/2018,II/2018,III/2018,IV/2018,I/2019,II/2019,III/2019,IV/2019,I/2020,II/2020,III/2020,IV/2020,I/2021,
FTTH,208795,241966,271613,333395,387611,448574,511488,617549,745944,944004,1209922,1549103,1938550,2208182,2594252,3119597,3591937,4042205,4434796,4884298,5328194,5658466,6100920,6640330,7162800,7629613,8095005,8626134,9081161,9470373,9879345,10270003,10596973,10870845,11303560,11658195,11982036,
FTTN,471317,473015,474985,481482,482942,484313,484850,481518,473974,462638,449468,430774,409894,396562,378938,355801,338536,323170,312210,300954,279956,268908,259162,247529,231762,219283,209086,196053,183166,171239,161275,149014,137389,131102,121284,109945,98614,
HFC (DOCSIS 3.0),2309503,2328191,2329244,2357915,2362051,2340386,2328771,2358883,2406475,2422572,2435930,2500118,2584111,2661042,2688272,2763859,2841533,2850222,2874296,2912178,2921456,2891636,2886280,2880759,2846096,2775764,2700954,2668373,2457282,2412623,2380077,2339744,2313838,2306423,2278207,2230738,2126543,
Total,2989615,3043172,3075842,3172792,3232604,3273273,3325109,3457950,3626393,3829214,4095320,4479995,4932555,5265786,5661462,6239257,6772006,7215597,7621302,8097430,8529606,8819010,9246362,9768618,10240658,10624660,11005045,11490560,11721609,12054235,12420697,12758761,13048200,13308370,13703051,13998878,14207193,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Los accesos NGA corresponden a accesos sobre los que se presta cualquier servicio, telefonía fija, audiovisual o banda ancha, bien sea aisladamente o en combinación con otro.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Última actualización 28/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extracción de datos 27/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comisión Nacional de los Mercados y la Competencia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La difusión de información que se realiza por este medio se hace únicamente a título informativo. Los datos anuales y trimestrales están sujetos a actualizaciones por parte de los operadores que suministran la información y, por lo tanto, puede haber modificaciones respecto a lo publicado, prevaleciendo siempre los últimos datos que se muestren.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
