Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
2. INFRAESTRUCTURAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Accesos NGA instalados por tipo de soporte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I/2012,II/2012,III/2012,IV/2012,I/2013,II/2013,III/2013,IV/2013,I/2014,II/2014,III/2014,IV/2014,I/2015,II/2015,III/2015,IV/2015,I/2016,II/2016,III/2016,IV/2016,I/2017,II/2017,III/2017,IV/2017,I/2018,II/2018,III/2018,IV/2018,I/2019,II/2019,III/2019,IV/2019,I/2020,II/2020,III/2020,IV/2020,I/2021,
FTTH,1971197,2470407,2909150,3237431,3449639,3957742,4829829,6171161,7915048,10313875,12508618,15053841,16819790,18655308,19929641,22657037,24370773,27062905,29237783,31103107,32108052,33342199,35165976,36972761,39638163,41496125,42938307,45068813,46619408,48666955,50799721,52155577,53106391,53887490,55468747,57026207,58086643,
FTTN,692659,696257,697502,700193,703984,704597,705985,709616,711054,712582,714059,716396,717024,717182,717362,717162,714854,713952,720318,714501,711810,711156,710399,709615,708911,701057,700765,699803,697243,685701,680110,668957,665588,657192,647529,645257,622843,
HFC (DOCSIS 3.0),9393560,9428096,9433900,9477539,9558119,9599491,9653093,9701047,9745516,9863811,9929391,10013861,10042537,10084099,10105432,10122894,10145934,10143663,10135415,10168550,10169966,10173937,10175783,10178689,10180120,10171040,10150345,10124906,10118044,10088308,10071964,10028881,10012990,9989499,9979535,9965590,9952866,
Total,12057416,12594760,13040552,13415163,13711742,14261830,15188907,16581824,18371618,20890268,23152068,25784098,27579351,29456589,30752435,33497093,35231561,37920520,40093516,41986158,42989828,44227292,46052158,47861065,50527194,52368222,53789417,55893522,57434695,59440964,61551795,62853415,63784969,64534181,66095811,67637054,68662352,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Un acceso instalado equivale a un acceso comercializable que se puede activar en un plazo razonable y corto de tiempo (48 horas). Los accesos instalados fijos NGA corresponden a la suma de los accesos que cada operador individual declara disponer como cobertura de viviendas y locales. Se debe tener en cuenta que en el caso de los accesos desplegados un mismo edificio puede estar cubierto por más de un operador.

Se han actualizado los accesos FTTH instalados de los trimestrales de 2020 debido a una modificación del operador Grupo MASMOVIL.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Última actualización 28/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extracción de datos 27/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comisión Nacional de los Mercados y la Competencia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La difusión de información que se realiza por este medio se hace únicamente a título informativo. Los datos anuales y trimestrales están sujetos a actualizaciones por parte de los operadores que suministran la información y, por lo tanto, puede haber modificaciones respecto a lo publicado, prevaleciendo siempre los últimos datos que se muestren.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
