Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
2. INFRAESTRUCTURAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10. Accesos NGA instalados por operador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I/2019,,,,II/2019,,,,III/2019,,,,IV/2019,,,,I/2020,,,,II/2020,,,,III/2020,,,,IV/2020,,,,I/2021,,,,
,HFC (DOCSIS 3.0),FTTH,FTTN,Total,HFC (DOCSIS 3.0),FTTH,FTTN,Total,HFC (DOCSIS 3.0),FTTH,FTTN,Total,HFC (DOCSIS 3.0),FTTH,FTTN,Total,HFC (DOCSIS 3.0),FTTH,FTTN,Total,HFC (DOCSIS 3.0),FTTH,FTTN,Total,HFC (DOCSIS 3.0),FTTH,FTTN,Total,HFC (DOCSIS 3.0),FTTH,FTTN,Total,HFC (DOCSIS 3.0),FTTH,FTTN,Total,
Movistar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,21762679,697243,22459922,0,22248876,685701,22934577,0,22683970,680110,23364080,0,23133086,668957,23802043,0,23421767,657857,24079624,0,23650069,649474,24299543,0,24445416,641141,25086557,0,25219123,638862,25857985,0,25651259,616453,26267712,
Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,14132845,0,14132845,0,14395967,0,14395967,0,14614756,0,14614756,0,14821369,0,14821369,0,15000275,0,15000275,0,15068611,0,15068611,0,15218273,0,15218273,0,15314700,0,15314700,0,15460930,0,15460930,
Vodafone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7562537,3598178,0,11160715,7565702,3625601,0,11191303,7565822,3631990,0,11197812,7565615,3640769,0,11206384,7565341,3662541,0,11227882,7565782,3682565,0,11248347,7565448,3710241,0,11275689,7565799,3736131,0,11301930,7566094,3750111,0,11316205,
Grupo MASMOVIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,6368973,0,6368973,0,7599211,0,7599211,0,8838933,0,8838933,0,8185526,0,8185526,0,8355408,0,8355408,0,8550184,0,8550184,0,8699409,0,8699409,0,8976914,0,8976914,0,9223712,0,9223712,
Euskaltel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2329164,72280,0,2401444,2320247,80937,0,2401184,2324477,283800,0,2608277,2299212,267769,0,2566981,2294448,261158,7731,2563337,2295795,269118,7718,2572631,2299854,276205,6388,2582447,2301286,292078,6395,2599759,2303614,305393,6390,2615397,
Resto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,226343,684453,0,910796,202359,716363,0,918722,181665,746272,0,927937,164054,2107058,0,2271112,153201,2405242,0,2558443,127922,2666943,0,2794865,114233,3119203,0,3233436,98505,3487261,0,3585766,83158,3695238,0,3778396,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10118044,46619408,697243,57434695,10088308,48666955,685701,59440964,10071964,50799721,680110,61551795,10028881,52155577,668957,62853415,10012990,53106391,665588,63784969,9989499,53887490,657192,64534181,9979535,55468747,647529,66095811,9965590,57026207,645257,67637054,9952866,58086643,622843,68662352,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grupo MASMOVIL incluye Mas Móvil y Yoigo a partir del 4º trimestre de 2016. Vodafone incluye Ono a partir del 3er trimestre de 2014, Orange incluye Jazztel a partir del 3er trimestre de 2015 y Euskaltel incluye R a partir del 4º trimestre de 2015 y TeleCable a partir del 3er trimestre de 2017. Se han actualizado los accesos FTTH instalados de los trimestrales de 2020 debido a una modificación del operador Grupo MASMOVIL.

Un acceso instalado equivale a un acceso comercializable que se puede activar en un plazo razonable y corto de tiempo (48 horas), no se incluyen los pares vacantes. Los accesos instalados fijos NGA corresponden a la suma de los accesos que cada operador individual declara disponer como cobertura de viviendas y locales. Se debe tener en cuenta que en el caso de los accesos desplegados un mismo edificio puede estar cubierto por más de un operador. 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Última actualización 28/09/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extracción de datos 27/10/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comisión Nacional de los Mercados y la Competencia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La difusión de información que se realiza por este medio se hace únicamente a título informativo. Los datos anuales y trimestrales están sujetos a actualizaciones por parte de los operadores que suministran la información y, por lo tanto, puede haber modificaciones respecto a lo publicado, prevaleciendo siempre los últimos datos que se muestren.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
